taille, countingsort, gnomesort, fusionsort, quicksort, insertionsort, selectionsort, cocktailshakersort, pancakesort, cyclesort, bubblesort
10000, 0.000158, 0.000075, 0.001555, 0.506240, 0.000079, 0.203418, 0.000096, 0.425562, 0.207682, 0.192383
20000, 0.000263, 0.000182, 0.003297, 1.948156, 0.000156, 0.804400, 0.000174, 1.664366, 0.825120, 0.737029
30000, 0.000412, 0.000309, 0.005062, 4.373432, 0.000246, 1.798439, 0.000266, 3.745697, 1.853958, 1.649873
40000, 0.000617, 0.000392, 0.006904, 7.762705, 0.000271, 3.197110, 0.000366, 6.677156, 3.291998, 2.935679
50000, 0.000793, 0.000387, 0.011902, 12.116701, 0.000354, 4.994834, 0.000441, 10.435802, 5.144691, 4.583340
60000, 0.000899, 0.000509, 0.010457, 17.423740, 0.000354, 7.191051, 0.000537, 15.019912, 7.404403, 6.594410
70000, 0.000911, 0.000551, 0.012570, 23.743219, 0.000529, 9.777255, 0.000595, 20.455734, 10.083579, 8.972787
80000, 0.001101, 0.000779, 0.014484, 30.981800, 0.000556, 12.776535, 0.000671, 26.601725, 13.164642, 11.716374
90000, 0.001523, 0.000728, 0.017772, 39.254707, 0.000635, 16.199797, 0.000808, 33.676601, 16.704950, 14.847228
100000, 0.001737, 0.000787, 0.021524, 48.509727, 0.000691, 19.947275, 0.000840, 41.481895, 20.568716, 18.310669
