taille, countingsort, gnomesort, fusionsort, quicksort, insertionsort, selectionsort, cocktailshakersort, pancakesort, cyclesort, bubblesort
10000, 0.000151, 0.000075, 0.001808, 0.217124, 0.000058, 0.200168, 0.000084, 0.616126, 0.205555, 0.185932
20000, 0.000388, 0.000206, 0.003377, 0.800857, 0.000134, 0.798144, 0.000173, 2.473625, 0.823312, 0.736833
30000, 0.000561, 0.000262, 0.005006, 1.808417, 0.000191, 1.799796, 0.000253, 5.525051, 1.851917, 1.659378
40000, 0.000775, 0.000399, 0.009358, 3.202137, 0.000268, 3.203073, 0.000361, 9.781950, 3.291966, 2.934173
50000, 0.000854, 0.000438, 0.011957, 4.995369, 0.000297, 4.990616, 0.000445, 15.275409, 5.142835, 4.579830
60000, 0.000967, 0.000553, 0.014609, 7.198770, 0.000396, 7.191519, 0.000508, 21.980774, 7.404589, 6.690041
70000, 0.001194, 0.000616, 0.012465, 9.818386, 0.000522, 9.803874, 0.000627, 30.089472, 10.108722, 8.990017
80000, 0.001296, 0.000718, 0.015120, 12.815181, 0.000573, 12.795996, 0.000716, 39.155399, 13.222464, 11.742911
90000, 0.001440, 0.000941, 0.020630, 16.202471, 0.000625, 16.200142, 0.000767, 49.595196, 16.664429, 14.855401
100000, 0.001864, 0.001074, 0.023187, 20.026712, 0.000597, 19.955973, 0.000837, 61.126205, 20.573496, 18.281195
