taille, countingsort, gnomesort, fusionsort, quicksort, insertionsort, selectionsort, cocktailshakersort, pancakesort, cyclesort, bubblesort
10000, 0.000157, 0.473363, 0.001546, 0.364152, 0.237892, 0.200335, 0.482657, 0.625603, 0.340356, 0.473389
20000, 0.000259, 1.848208, 0.003338, 1.394838, 0.884361, 0.762381, 1.868040, 2.474601, 1.350405, 1.892601
30000, 0.000505, 4.147148, 0.005055, 3.095468, 1.979088, 1.727344, 4.144043, 5.541463, 3.038939, 4.247339
40000, 0.000710, 7.369042, 0.008409, 5.500908, 3.495344, 3.049495, 7.362407, 9.827143, 5.415247, 7.552102
50000, 0.000788, 11.459804, 0.011315, 8.587383, 5.471529, 4.758757, 11.443386, 15.281109, 8.441885, 11.766603
60000, 0.000950, 16.666445, 0.014125, 12.512292, 7.867333, 6.839794, 16.448954, 22.032871, 12.145539, 16.958759
70000, 0.001077, 22.495266, 0.012357, 16.799328, 10.706799, 9.286196, 22.381462, 30.048431, 16.552015, 23.094261
80000, 0.001242, 29.204048, 0.018775, 21.925615, 13.930632, 12.130982, 29.116896, 39.069443, 21.624989, 30.158684
90000, 0.001413, 37.035576, 0.017680, 27.781580, 17.663233, 15.375464, 36.872139, 49.534180, 27.324032, 38.051743
100000, 0.001770, 45.607513, 0.024019, 34.216164, 21.730707, 18.936607, 45.399506, 60.977146, 33.754578, 47.029812
