taille, countingsort, gnomesort, fusionsort, quicksort, insertionsort, selectionsort, cocktailshakersort, pancakesort, cyclesort, bubblesort
10000, 0.000348, 0.250456, 0.002799, 0.002738, 0.132156, 0.204040, 0.396263, 0.512717, 0.827183, 0.476423
20000, 0.000564, 0.941472, 0.005460, 0.004659, 0.456427, 0.808070, 1.623426, 2.021189, 3.303686, 2.017981
30000, 0.000968, 2.076682, 0.010086, 0.008950, 0.998489, 1.802741, 3.661705, 4.522298, 7.426631, 4.694023
40000, 0.001202, 3.666860, 0.011637, 0.011633, 1.755960, 3.204231, 6.526745, 8.006896, 13.165962, 8.452325
50000, 0.001587, 5.720987, 0.014530, 0.014473, 2.745757, 5.007214, 10.230460, 12.550975, 20.624275, 13.327502
60000, 0.001772, 8.262940, 0.017984, 0.019216, 3.938464, 7.192098, 14.778027, 18.020975, 29.697275, 19.352320
70000, 0.002330, 11.303207, 0.023074, 0.021170, 5.369275, 9.813031, 20.161514, 24.665182, 40.426392, 26.560188
80000, 0.002401, 14.654264, 0.026218, 0.023892, 6.994261, 12.792553, 26.199240, 31.983707, 52.746567, 34.730503
90000, 0.002780, 18.637754, 0.030027, 0.025208, 8.878278, 16.219942, 33.342110, 40.617634, 66.879761, 44.019936
100000, 0.003150, 23.011002, 0.034354, 0.033812, 10.958081, 20.012056, 41.133678, 50.323334, 82.344795, 54.331993
